Rank;Restaurant;Content;Sales; YOY_Sales ;Units; YOY_Units ;Headquarters;Segment_Category;Segment_Category_2
94;Smoothie King;NA;462; 0,11 ;972; 0,08 ;NA;Quick Service & Beverage;24
95;Mellow Mushroom;NA;461; -0,00 ;187; -0,01 ;NA;Casual Dining & Italian/Pizza;9
96;The Capital Grille;NA;461; 0,05 ;58; -   ;NA;Fine Dining & Steak;29
97;Round Table Pizza;NA;450; 0,01 ;435; 0,01 ;NA;Quick Service & Pizza;6
98;Miller's Ale House;NA;446; 0,10 ;98; 0,11 ;NA;Casual Dining & Sports Bar;13
99;Potbelly sandwich Shop;Potbelly closed stores and halted company-owned unit growth last year and hired a consulting firm to help it return to profitability. In a bid to boost operational efficiency, it debuted a new prototype in Chicago that reverses the concept's normal ordering process.;446; -0,03 ;471; -0,02 ;NA;Quick Service & Sandwich;5
100;Hungry Howie's Pizza;NA;439; 0,07 ;537; -0,02 ;NA;Quick Service & Pizza;6
101;Charleys Philly Steaks;NA;435; 0,05 ;540; 0,02 ;NA;Quick Service & Sandwich;5
102;Chuy's;NA;426; 0,07 ;100; -   ;Austin, TX;Mexican;30
103;O'Charley's;NA;426; -0,08 ;196; -0,05 ;Nashville, TN;Varied Menu;31
104;Pollo Tropical;NA;425; -0,02 ;174; 0,03 ;Miami, FL;Chicken;32
105;Maggiano's Little Italy;NA;417; 0,01 ;53; 0,02 ;Dallas, TX;Italian/Pizza;33
106;Cicis;NA;410; -0,01 ;420; 0,01 ;Coppell, TX;Pizza;34
107;Long John Silver's;NA;404; -0,08 ;850; -0,02 ;Louisville, KY;Seafood;35
108;Saltgrass Steak House;NA;402; 0,15 ;88; 0,10 ;Houston, TX;Steak;23
109;Chuck E. Cheese's;NA;381; -0,01 ;537; 0,01 ;Irving, TX;Pizza;34
110;Taco John's;NA;373; 0,01 ;387; -0,01 ;Cheyenne, WY;Mexican;30
111;Texas de Brazil Churrascaria;NA;370; 0,11 ;58; 0,09 ;Dallas, TX;Steak;23
112;Cold Stone Creamery;NA;369; -0,02 ;895; -0,01 ;Scottsdale, AZ;Frozen Desserts;36
113;Blaze Pizza;NA;366; 0,12 ;313; 0,06 ;Pasadena, CA;Pizza;34
114;Peet's Coffee;NA;357; 0,04 ;423; 0,02 ;Emeryville, CA;Coffee Cafe;37
115;Dickey's Barbecue Pit;NA;349; -0,09 ;497; -0,06 ;Dallas, TX;BBQ;38
116;Zoes Kitchen;NA;348; 0,01 ;256; -0,02 ;Plano, TX;Sandwich;39
117;Corner Bakery_Cafe;NA;348; -0,04 ;175; -0,04 ;Dallas, TX;Bakery Cafe;40
118;Krystal Co.;NA;343; -0,09 ;318; -0,11 ;Dunwoody, GA;Burger;41
119;Benihana;NA;340; 0,02 ;71; -   ;Doral, FL;Asian;42
120;Cooper's Hawk Winery & Restaurants;NA;338; 0,20 ;41; 0,17 ;Countryside, IL;Varied Menu;31
121;Big Boy/Frisch's Big Boy;NA;338; -0,03 ;194; -0,03 ;Warren, MI;Family Style;43
122;Black Bear Diner;NA;336; 0,15 ;138; 0,15 ;Redding, CA;Family Style;43
123;Twin Peaks;NA;335; 0,03 ;84; -   ;Dallas, TX;Sports Bar;25
124;Schlotzsky's;NA;335; -0,01 ;373; 0,01 ;Atlanta, GA;Sandwich;39
125;Jet's Pizza;NA;331; -0,02 ;383; -0,01 ;Sterling Heights, MI;Pizza;34
126;Famous Dave's;NA;329; -0,08 ;128; -0,11 ;Minnetonka, MN;BBQ;38
127;On The Border Mexican Grill & Cantina;NA;327; -0,06 ;136; -0,05 ;Irving, TX;Mexican;30
